Gen,Best,Worst,Avg,Timestamp
0,39.76616,39.76616,39.76616,2017-11-21 17:05:57
1,37.63723,39.76616,38.91780,2017-11-21 17:06:11
2,36.30753,38.99545,37.78616,2017-11-21 17:06:24
3,35.00736,38.31809,36.72873,2017-11-21 17:06:37
4,34.29383,37.44629,35.70583,2017-11-21 17:06:50
5,32.58919,36.63706,34.62299,2017-11-21 17:07:03
6,31.35694,35.65899,33.64182,2017-11-21 17:07:15
7,30.33670,34.85680,32.71361,2017-11-21 17:07:28
8,29.30507,34.52937,31.80410,2017-11-21 17:07:41
9,28.99161,33.57314,30.95074,2017-11-21 17:07:54
10,28.35029,33.36336,30.09226,2017-11-21 17:08:07
11,27.74263,31.84847,29.40415,2017-11-21 17:08:20
12,27.28606,30.56206,28.73730,2017-11-21 17:08:33
13,26.79317,29.69972,28.14090,2017-11-21 17:08:46
14,26.22724,29.64927,27.61565,2017-11-21 17:08:59
15,25.94977,29.54364,27.21657,2017-11-21 17:09:13
16,25.40245,28.51780,26.75506,2017-11-21 17:09:26
17,24.85267,27.99011,26.35529,2017-11-21 17:09:39
18,24.63575,27.42896,25.90307,2017-11-21 17:09:53
19,24.19268,27.11858,25.48126,2017-11-21 17:10:06
20,23.80208,26.80105,25.08520,2017-11-21 17:10:20
21,23.06479,26.07251,24.67982,2017-11-21 17:10:33
22,22.85476,25.79434,24.32303,2017-11-21 17:10:47
23,22.29392,25.86606,23.86039,2017-11-21 17:11:00
24,22.04402,25.15494,23.50809,2017-11-21 17:11:14
25,21.75487,24.99197,23.09547,2017-11-21 17:11:27
26,21.47581,24.16489,22.67478,2017-11-21 17:11:41
27,20.86583,24.39111,22.32607,2017-11-21 17:11:55
28,20.54892,24.36617,21.94424,2017-11-21 17:12:09
29,20.30322,23.34669,21.58373,2017-11-21 17:12:22
30,20.00184,23.22995,21.29081,2017-11-21 17:12:36
31,19.89014,22.50266,20.93630,2017-11-21 17:12:50
32,19.65457,22.43371,20.70448,2017-11-21 17:13:03
33,19.47503,22.07556,20.42875,2017-11-21 17:13:17
34,19.28263,21.31839,20.20118,2017-11-21 17:13:31
35,19.00256,21.48164,19.95235,2017-11-21 17:13:45
36,18.80735,21.87207,19.72491,2017-11-21 17:13:59
37,18.19872,21.15179,19.51919,2017-11-21 17:14:13
38,18.19872,20.97144,19.30304,2017-11-21 17:14:26
39,18.15027,20.06736,19.07945,2017-11-21 17:14:40
40,17.94554,20.15143,18.87423,2017-11-21 17:14:54
41,17.84068,19.85328,18.70214,2017-11-21 17:15:08
42,17.59583,19.55137,18.51290,2017-11-21 17:15:22
43,17.33064,19.58447,18.30228,2017-11-21 17:15:36
44,17.33064,19.78364,18.13445,2017-11-21 17:15:50
45,17.12275,19.28671,17.97885,2017-11-21 17:16:04
46,17.08347,19.12306,17.84296,2017-11-21 17:16:18
47,16.93181,19.19641,17.70919,2017-11-21 17:16:32
48,16.84576,19.05493,17.59282,2017-11-21 17:16:46
49,16.80469,19.85350,17.48326,2017-11-21 17:17:00
50,16.71593,19.91792,17.38334,2017-11-21 17:17:14
51,16.71593,19.03007,17.28152,2017-11-21 17:17:28
52,16.65081,18.72569,17.21293,2017-11-21 17:17:42
53,16.35581,19.22828,17.12551,2017-11-21 17:17:56
54,16.35581,19.02801,17.00744,2017-11-21 17:18:10
55,16.12481,19.28159,16.90231,2017-11-21 17:18:24
56,16.09945,18.78287,16.79957,2017-11-21 17:18:38
57,15.97263,18.62034,16.67946,2017-11-21 17:18:52
58,15.97263,18.62783,16.57588,2017-11-21 17:19:06
59,15.96965,18.06518,16.53006,2017-11-21 17:19:20
60,15.74935,18.26824,16.43376,2017-11-21 17:19:34
61,15.71762,17.88831,16.34994,2017-11-21 17:19:48
62,15.70553,18.29751,16.25590,2017-11-21 17:20:02
63,15.32508,17.89378,16.12583,2017-11-21 17:20:16
64,15.32508,17.73507,16.04966,2017-11-21 17:20:30
65,15.23957,17.55810,15.97372,2017-11-21 17:20:44
66,15.23957,18.36519,15.89939,2017-11-21 17:20:58
67,15.23957,17.79833,15.80354,2017-11-21 17:21:12
68,15.02693,18.13747,15.71407,2017-11-21 17:21:26
69,15.02693,18.02931,15.61695,2017-11-21 17:21:40
70,14.77076,17.26129,15.53920,2017-11-21 17:21:54
71,14.77076,17.52915,15.45283,2017-11-21 17:22:08
72,14.77076,17.72768,15.39625,2017-11-21 17:22:22
73,14.77076,18.26929,15.31603,2017-11-21 17:22:36
74,14.75758,18.11896,15.24959,2017-11-21 17:22:50
75,14.52093,17.37000,15.15632,2017-11-21 17:23:04
76,14.52093,17.86595,15.08429,2017-11-21 17:23:17
77,14.52093,17.63369,15.04527,2017-11-21 17:23:31
78,14.50823,17.83180,14.97086,2017-11-21 17:23:45
79,14.48960,17.97979,14.90862,2017-11-21 17:23:59
80,14.40568,17.69394,14.84280,2017-11-21 17:24:13
81,14.31287,18.15258,14.79077,2017-11-21 17:24:27
82,14.24078,17.63006,14.73416,2017-11-21 17:24:40
83,14.16449,17.79662,14.68808,2017-11-21 17:24:54
84,14.05851,17.83485,14.63006,2017-11-21 17:25:08
85,14.05851,17.41790,14.56914,2017-11-21 17:25:22
86,14.00897,17.55150,14.53803,2017-11-21 17:25:36
87,13.85319,17.78828,14.46947,2017-11-21 17:25:49
88,13.85319,17.78031,14.41092,2017-11-21 17:26:03
89,13.85319,17.34789,14.34581,2017-11-21 17:26:17
90,13.84151,17.62915,14.28438,2017-11-21 17:26:31
91,13.76404,17.98188,14.21447,2017-11-21 17:26:45
92,13.61933,18.09679,14.17698,2017-11-21 17:26:59
93,13.61933,17.55924,14.12205,2017-11-21 17:27:13
94,13.54747,17.59450,14.09244,2017-11-21 17:27:27
95,13.53197,17.13155,14.01440,2017-11-21 17:27:40
96,13.42145,17.13256,13.97876,2017-11-21 17:27:54
97,13.35042,17.32294,13.92893,2017-11-21 17:28:08
98,13.35042,18.28670,13.88671,2017-11-21 17:28:22
99,13.33883,17.44233,13.84260,2017-11-21 17:28:36
100,13.16640,16.48880,13.77944,2017-11-21 17:28:49
101,13.16640,17.08337,13.73366,2017-11-21 17:29:03
102,13.16640,16.75781,13.69409,2017-11-21 17:29:17
103,13.13936,17.92218,13.64834,2017-11-21 17:29:31
104,13.10919,16.08121,13.56109,2017-11-21 17:29:45
105,12.92424,17.73871,13.52369,2017-11-21 17:29:59
106,12.92424,16.41245,13.48489,2017-11-21 17:30:13
107,12.84341,16.83401,13.45248,2017-11-21 17:30:27
108,12.84341,17.79988,13.40483,2017-11-21 17:30:41
109,12.84341,17.58089,13.36586,2017-11-21 17:30:55
110,12.79855,17.11060,13.28949,2017-11-21 17:31:09
111,12.78469,16.04386,13.22884,2017-11-21 17:31:23
112,12.75520,16.93219,13.18596,2017-11-21 17:31:37
