Gen,Best,Worst,Avg,Timestamp
105,13.05002,17.91190,13.44090,2017-11-17 14:43:52
106,13.01607,16.58142,13.38206,2017-11-17 14:44:03
107,12.85587,18.57812,13.34523,2017-11-17 14:44:14
108,12.82947,15.84642,13.30302,2017-11-17 14:44:24
109,12.68769,16.82051,13.28410,2017-11-17 14:44:35
110,12.68769,16.03007,13.23904,2017-11-17 14:44:46
111,12.68769,16.47120,13.21220,2017-11-17 14:44:57
112,12.68769,17.92663,13.18604,2017-11-17 14:45:08
113,12.68769,16.46222,13.13330,2017-11-17 14:45:19
114,12.68769,16.71900,13.09521,2017-11-17 14:45:30
115,12.59401,17.50540,13.07883,2017-11-17 14:45:41
116,12.55383,17.57050,13.03122,2017-11-17 14:45:52
117,12.55383,16.35371,13.00131,2017-11-17 14:46:03
118,12.50794,17.13492,12.97767,2017-11-17 14:46:14
119,12.50794,16.13090,12.92025,2017-11-17 14:46:24
120,12.44409,17.28104,12.92740,2017-11-17 14:46:35
121,12.44277,16.37301,12.88418,2017-11-17 14:46:46
122,12.42734,16.54121,12.84806,2017-11-17 14:46:57
123,12.27481,17.16114,12.81061,2017-11-17 14:47:07
124,12.25416,18.22464,12.78145,2017-11-17 14:47:18
125,12.25403,17.24427,12.75018,2017-11-17 14:47:29
126,12.25403,15.64061,12.68223,2017-11-17 14:47:40
127,12.14262,16.77253,12.66185,2017-11-17 14:47:50
128,12.14262,16.38927,12.61568,2017-11-17 14:48:01
129,12.14262,17.13447,12.60827,2017-11-17 14:48:12
130,12.00955,16.48945,12.55725,2017-11-17 14:48:23
131,12.00955,15.29587,12.48895,2017-11-17 14:48:33
132,12.00955,17.38879,12.48979,2017-11-17 14:48:44
133,11.95116,16.12046,12.43130,2017-11-17 14:48:55
134,11.95116,16.41661,12.40792,2017-11-17 14:49:06
135,11.95116,16.84348,12.37351,2017-11-17 14:49:17
136,11.92454,17.87651,12.37093,2017-11-17 14:49:28
137,11.87275,15.94152,12.31435,2017-11-17 14:49:38
138,11.82699,16.40293,12.28824,2017-11-17 14:49:49
139,11.80860,15.84593,12.26084,2017-11-17 14:50:00
140,11.79547,16.15846,12.23971,2017-11-17 14:50:10
141,11.77554,16.84478,12.22540,2017-11-17 14:50:21
142,11.76912,17.59149,12.18527,2017-11-17 14:50:31
143,11.66449,16.97075,12.14611,2017-11-17 14:50:42
144,11.66449,16.84184,12.13205,2017-11-17 14:50:53
145,11.66449,17.60770,12.11432,2017-11-17 14:51:03
146,11.52712,17.01261,12.07181,2017-11-17 14:51:14
147,11.52712,16.16990,12.01706,2017-11-17 14:51:25
148,11.52712,17.00877,12.03466,2017-11-17 14:51:36
149,11.52712,16.80204,11.99431,2017-11-17 14:51:47
150,11.46557,16.97721,11.95087,2017-11-17 14:51:57
151,11.46557,15.37896,11.87517,2017-11-17 14:52:08
152,11.42927,15.44843,11.84009,2017-11-17 14:52:19
153,11.36913,15.97146,11.82797,2017-11-17 14:52:29
154,11.34684,15.74880,11.79024,2017-11-17 14:52:40
