Gen,Best,Worst,Avg,Timestamp
105,7.75376,10.42298,9.02313,2017-12-04 20:40:18
106,7.75376,10.63155,9.00503,2017-12-04 20:40:22
107,7.75376,10.66217,9.02148,2017-12-04 20:40:26
108,7.75376,10.19792,8.94085,2017-12-04 20:40:30
109,7.75376,11.34300,8.95457,2017-12-04 20:40:34
110,7.75376,10.86089,8.93179,2017-12-04 20:40:38
111,7.75376,10.32895,8.91332,2017-12-04 20:40:43
112,7.75376,10.61000,8.91933,2017-12-04 20:40:47
113,7.71418,10.42549,8.89527,2017-12-04 20:40:51
114,7.71418,10.46187,8.88799,2017-12-04 20:40:56
115,7.71418,10.34210,8.85909,2017-12-04 20:41:00
116,7.71418,10.37351,8.88887,2017-12-04 20:41:04
117,7.71418,10.29346,8.80495,2017-12-04 20:41:08
118,7.71418,10.11169,8.78736,2017-12-04 20:41:12
119,7.71418,11.07258,8.79567,2017-12-04 20:41:16
120,7.71418,10.16864,8.73783,2017-12-04 20:41:20
121,7.71418,10.21061,8.75052,2017-12-04 20:41:24
122,7.71418,9.97974,8.77064,2017-12-04 20:41:28
123,7.71418,10.98288,8.79669,2017-12-04 20:41:32
124,7.71418,10.62206,8.76955,2017-12-04 20:41:36
125,7.71418,10.75087,8.75281,2017-12-04 20:41:41
126,7.71418,10.56302,8.77901,2017-12-04 20:41:45
127,7.66169,10.71469,8.75672,2017-12-04 20:41:49
128,7.65848,10.17811,8.71387,2017-12-04 20:41:53
129,7.65848,10.25397,8.72560,2017-12-04 20:41:57
130,7.65848,10.11786,8.75857,2017-12-04 20:42:01
131,7.65848,9.86159,8.72562,2017-12-04 20:42:05
132,7.65848,10.91096,8.71208,2017-12-04 20:42:09
133,7.65848,10.14378,8.68997,2017-12-04 20:42:13
134,7.65848,9.78066,8.68081,2017-12-04 20:42:17
135,7.65848,10.03904,8.68778,2017-12-04 20:42:21
136,7.65848,10.13820,8.67927,2017-12-04 20:42:25
137,7.62965,10.29889,8.66013,2017-12-04 20:42:29
138,7.62965,10.21879,8.66606,2017-12-04 20:42:33
139,7.62965,10.39195,8.67936,2017-12-04 20:42:37
140,7.53412,10.46330,8.63782,2017-12-04 20:42:41
141,7.53412,10.06541,8.66501,2017-12-04 20:42:45
142,7.53412,9.99243,8.67868,2017-12-04 20:42:49
143,7.53412,10.52953,8.65378,2017-12-04 20:42:53
144,7.53412,10.47727,8.62775,2017-12-04 20:42:57
145,7.53412,10.01405,8.54823,2017-12-04 20:43:01
146,7.53412,10.43223,8.56574,2017-12-04 20:43:05
147,7.47207,10.07018,8.55138,2017-12-04 20:43:09
148,7.47207,9.78538,8.53991,2017-12-04 20:43:13
149,7.47207,10.27465,8.61116,2017-12-04 20:43:17
150,7.47207,10.00523,8.56283,2017-12-04 20:43:21
151,7.47207,10.06969,8.55844,2017-12-04 20:43:25
152,7.47207,10.36386,8.55380,2017-12-04 20:43:29
153,7.47207,9.93925,8.54262,2017-12-04 20:43:33
154,7.47207,9.88094,8.50040,2017-12-04 20:43:37
155,7.47207,9.81452,8.49301,2017-12-04 20:43:41
156,7.47207,9.69534,8.45205,2017-12-04 20:43:46
157,7.47207,10.08807,8.50881,2017-12-04 20:43:50
158,7.47207,10.11575,8.52453,2017-12-04 20:43:54
159,7.47207,9.98681,8.50317,2017-12-04 20:43:58
160,7.47207,10.38156,8.48251,2017-12-04 20:44:03
161,7.47207,10.05088,8.49093,2017-12-04 20:44:07
162,7.47207,10.16228,8.46834,2017-12-04 20:44:11
163,7.47207,9.85856,8.40724,2017-12-04 20:44:16
164,7.47207,9.95442,8.38688,2017-12-04 20:44:20
165,7.47207,10.12510,8.39733,2017-12-04 20:44:25
166,7.47207,10.25913,8.38962,2017-12-04 20:44:29
167,7.47207,10.19977,8.39869,2017-12-04 20:44:34
168,7.47207,9.97416,8.38710,2017-12-04 20:44:39
169,7.47207,10.17280,8.36717,2017-12-04 20:44:43
170,7.47207,10.65278,8.35829,2017-12-04 20:44:48
171,7.47207,10.02402,8.32196,2017-12-04 20:44:53
172,7.46170,10.16157,8.33251,2017-12-04 20:44:58
173,7.43829,9.71754,8.34463,2017-12-04 20:45:01
174,7.43829,9.71666,8.38957,2017-12-04 20:45:05
175,7.43829,9.63133,8.42959,2017-12-04 20:45:09
176,7.43829,10.41620,8.46099,2017-12-04 20:45:13
177,7.43829,9.72263,8.44310,2017-12-04 20:45:17
