Gen,Best,Worst,Avg,Timestamp
0,39.76616,39.76616,39.76616,2017-11-18 09:41:33
1,37.78530,39.76616,38.91796,2017-11-18 09:41:46
2,36.29883,38.94526,37.85154,2017-11-18 09:41:59
3,35.17256,38.54351,36.77970,2017-11-18 09:42:11
4,33.70519,37.14358,35.68347,2017-11-18 09:42:24
5,32.86293,36.01281,34.61438,2017-11-18 09:42:37
6,32.12222,35.42394,33.69855,2017-11-18 09:42:50
7,31.00597,34.58599,32.88584,2017-11-18 09:43:02
8,30.20603,33.65024,32.10909,2017-11-18 09:43:15
9,29.78119,33.35343,31.42786,2017-11-18 09:43:28
10,28.99224,33.08247,30.73932,2017-11-18 09:43:41
11,28.49854,32.15082,30.04027,2017-11-18 09:43:54
12,27.69472,30.75472,29.38615,2017-11-18 09:44:08
13,27.56741,30.39792,28.82875,2017-11-18 09:44:21
14,26.84108,29.85711,28.22910,2017-11-18 09:44:34
15,26.10052,29.50851,27.69969,2017-11-18 09:44:47
16,25.82409,28.56099,27.15987,2017-11-18 09:45:01
17,25.34163,28.33250,26.73651,2017-11-18 09:45:14
18,24.92528,27.92780,26.26449,2017-11-18 09:45:28
19,24.61760,27.49592,25.80362,2017-11-18 09:45:41
20,24.17482,26.92738,25.41220,2017-11-18 09:45:55
21,23.69037,26.88639,25.03453,2017-11-18 09:46:08
22,23.28234,25.93981,24.62083,2017-11-18 09:46:22
23,23.04961,25.54627,24.22318,2017-11-18 09:46:36
24,22.48263,25.12917,23.81460,2017-11-18 09:46:50
25,22.15472,24.94091,23.45799,2017-11-18 09:47:04
26,21.45239,24.68537,23.09663,2017-11-18 09:47:17
27,21.45239,23.98097,22.71607,2017-11-18 09:47:31
28,21.08060,23.76963,22.37391,2017-11-18 09:47:45
29,21.07829,24.18480,22.03342,2017-11-18 09:47:59
30,20.72249,23.15013,21.70962,2017-11-18 09:48:13
31,20.27906,23.28779,21.39034,2017-11-18 09:48:27
32,19.88264,22.56068,21.12079,2017-11-18 09:48:41
33,19.61167,22.05586,20.82361,2017-11-18 09:48:55
34,19.37339,21.72895,20.51688,2017-11-18 09:49:09
35,19.26278,21.29673,20.23057,2017-11-18 09:49:23
36,18.91002,21.30674,19.97975,2017-11-18 09:49:38
37,18.72454,20.88743,19.74887,2017-11-18 09:49:52
38,18.67407,20.92038,19.51036,2017-11-18 09:50:06
39,18.39181,20.33516,19.27408,2017-11-18 09:50:20
40,18.22282,20.16149,19.08446,2017-11-18 09:50:34
41,17.99653,19.77271,18.86827,2017-11-18 09:50:48
